School Name,EMIS Number,Markaz,Tehsil,Address,AEO Count,Status
"GGES HARRAKA","37330553","BAGGA SHEIKHAN","","Rawalpindi, Pakistan",1,"HAS AEO NO STAFF"
"GGPS BAGGA SANGRAL","37330549","BAGGA SHEIKHAN","","Rawalpindi, Pakistan",1,"HAS AEO NO STAFF"
"GES CHANI ALAM SHER","37330295","BASSALI","","Rawalpindi, Pakistan",2,"HAS AEO NO STAFF"
"GES DODHAR NAJJAR","37330125","BASSALI","","Rawalpindi, Pakistan",2,"HAS AEO NO STAFF"
"GES MAL JANJAL","37330132","BASSALI","","Rawalpindi, Pakistan",2,"HAS AEO NO STAFF"
"GES MUJAHID GANGAL RAWALPINDI","37330128","BASSALI","","Rawalpindi, Pakistan",2,"HAS AEO NO STAFF"
"GPS BAGGA SHEIKHAN","37330289","BASSALI","","Rawalpindi, Pakistan",2,"HAS AEO NO STAFF"
"GPS BANGIAL SAWAN","37330292","BASSALI","","Rawalpindi, Pakistan",2,"HAS AEO NO STAFF"
"GPS BASSALI","37330293","BASSALI","","Rawalpindi, Pakistan",2,"HAS AEO NO STAFF"
"GPS CHAK KHAS","37330294","BASSALI","","Rawalpindi, Pakistan",2,"HAS AEO NO STAFF"
"GPS GHORA GUJRAN","37330284","BASSALI","","Rawalpindi, Pakistan",2,"HAS AEO NO STAFF"
"GPS GHROLI","37330283","BASSALI","","Rawalpindi, Pakistan",2,"HAS AEO NO STAFF"
"GPS GOHRA RAMIAL","37330271","BASSALI","","Rawalpindi, Pakistan",2,"HAS AEO NO STAFF"
"GPS KALRI","37330285","BASSALI","","Rawalpindi, Pakistan",2,"HAS AEO NO STAFF"
"GPS KHAI AWAN","37330275","BASSALI","","Rawalpindi, Pakistan",2,"HAS AEO NO STAFF"
"GES MUJAHID","37330138","CHAKRI","","",2,"HAS AEO NO STAFF"
"GPS CHACH RAWAN","37330716","CHAKRI","","Rawalpindi, Pakistan",2,"HAS AEO NO STAFF"
"GPS SAROBA","37330334","CHAKRI","","Rawalpindi, Pakistan",2,"HAS AEO NO STAFF"
"GPS SHARIFABAD","37330336","CHAKRI","","Rawalpindi, Pakistan",2,"HAS AEO NO STAFF"
"GPS KHAN ASGHAR MALL","37330240","Shakrial","","",0,"HAS AEO NO STAFF"
"GES BANGUSH COLONY","37330201","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GES CHAK BELI KHAN","37330396","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GES KURI KHUDA BUKSH","37330131","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGES ARAZI SOHAL","37330172","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGES Bodial","37330621","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGES DHAKALA","37330176","NO MARKAZ","","",0,"HAS AEO NO STAFF"
"GGES DHERI","37330634","NO MARKAZ","","",0,"HAS AEO NO STAFF"
"GGES DHOKE PARACHA","37330455","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGES Dhok Mureed","37330637","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGES Dhoke Budhal","37330537","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGES GHELLA KALAN","37330643","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGES MOHRA","37330380","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGES Murree Road Rawalpindi","37330161","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGES New Sarfraz Road Rwp","37330157","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGES Salmoon","37330389","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGPS  Mangtal 1","37330440","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGPS Akhtar islamia","37330150","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGPS Arazi Sohal","37330172-A","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGPS Hoon","37330649","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGPS JORIAN","37330565","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGPS KOHALA SYEDAN","37330573","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGPS MC Dhoke hassu","37330452","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGPS MC PIR WADHAL","37330454","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GGPS MC bangush colony","37330451","NO MARKAZ","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
